No,Albüm,Yıl,Şarkı,Tür,Konu,Duygu Tonu,Süre,Söz-Müzik
1,Kadın,1996,Vazgeçtim Dünyadan,Balad,Tacize uğrayıp terk edilen bir kadının trajik çaresizliği,Trajik-isyankâr,5:37,Şebnem Ferah
2,Kadın,1996,Deli Kızım Uyan,Rock,Ölümcül hastalığa yakalanan kardeşe seslenen bir vedalaşma,Hüzünlü-yakıcı,4:25,"Şebnem Ferah, Sezen Aksu / Şebnem Ferah"
3,Kadın,1996,İyi Gün Dostlarım,Rock,Zor günde yalnız bırakan sahte dostlara duyulan öfke,Öfkeli-hesaplaşan,5:17,Şebnem Ferah
4,Kadın,1996,Bu Aşk Fazla Sana,Balad,Karşılıksız ve yıpratıcı bir aşkta sınırın aşılması,Kırgın-uyarıcı,4:28,Şebnem Ferah
5,Kadın,1996,Bırak Kadının Olayım,Pop-Rock,Sevdiğine bağlılık ve birliktelik için yalvaran aşk itirafı,Romantik-yalvaran,4:03,Şebnem Ferah
6,Kadın,1996,Fırtına,Rock,Sakin görünüşün ardındaki içsel kaygı ve duygusal çalkantı,Gergin-çalkantılı,5:47,"Şebnem Ferah, Sezen Aksu / Şebnem Ferah"
7,Kadın,1996,Yağmurlar,Balad,Terk edilmişliğin ve yasın gözyaşına dönüşmesi,Melankolik-yıkık,5:06,"Şebnem Ferah, Sezen Aksu / Şebnem Ferah"
8,Kadın,1996,Yeniden Doğup Gelsem,Balad,Yeniden doğsa aynı sevgiyi seçeceğini düşleyen hayat muhasebesi,Hüzünlü-umutlu,4:12,"Şebnem Ferah, Sezen Aksu / Şebnem Ferah"
9,Kadın,1996,Durma,Rock,Geçmiş korkulara takılmadan cesaretle yeniden başlama çağrısı,Umutlu-cesaretlendirici,4:17,"Şebnem Ferah / İskender Paydaş, Tarkan Gözübüyük"
10,Kadın,1996,Buradan Göçerken,Balad,Hayatın geçiciliği karşısında geriye kalanların sorgulanması,Melankolik-düşünceli,3:46,Şebnem Ferah
11,Artık Kısa Cümleler Kuruyorum,1999,Oyunlar,Rock
12,Artık Kısa Cümleler Kuruyorum,1999,Ay,Balad
13,Artık Kısa Cümleler Kuruyorum,1999,Bugün,Rock
14,Artık Kısa Cümleler Kuruyorum,1999,Kalbim,Balad
15,Artık Kısa Cümleler Kuruyorum,1999,Herkes Bilsin İstedim,Balad
16,Artık Kısa Cümleler Kuruyorum,1999,Oyunun Sonu,Rock
17,Artık Kısa Cümleler Kuruyorum,1999,Üvey,Rock
18,Artık Kısa Cümleler Kuruyorum,1999,Nefessiz Kaldım,Rock
19,Artık Kısa Cümleler Kuruyorum,1999,Yorgun,Rock
20,Artık Kısa Cümleler Kuruyorum,1999,Artık Kısa Cümleler Kuruyorum,Balad
21,Perdeler,2001,Sigara,Rock
22,Perdeler,2001,Aşk,Balad
23,Perdeler,2001,Sil Baştan,Rock
24,Perdeler,2001,Nereye Kadar,Rock
25,Perdeler,2001,Perdeler,Balad
26,Perdeler,2001,Günaydın Sevgilim,Balad
27,Perdeler,2001,Dünya,Rock
28,Perdeler,2001,Saatim Çalmadan,Pop-Rock
29,Perdeler,2001,Korkarak Yaşıyorsan,Rock
30,Perdeler,2001,Yemen Türküsü,Balad
31,Kelimeler Yetse,2003,İyi-Kötü (Dans Pisti),Rock
32,Kelimeler Yetse,2003,Babam Oğlum,Balad
33,Kelimeler Yetse,2003,Ben Şarkımı Söylerken,Rock
34,Kelimeler Yetse,2003,Senin Adın Ne,Pop-Rock
35,Kelimeler Yetse,2003,Gözlerimin Etrafındaki Çizgiler,Balad
36,Kelimeler Yetse,2003,Çocukken Sahip Olduğum Kırmızı Rugan Ayakkabılar,Balad
37,Kelimeler Yetse,2003,Mayın Tarlası,Rock
38,Kelimeler Yetse,2003,Gözyaşlarımızın Tadı Aynı,Balad
39,Kelimeler Yetse,2003,Daha İyi Olmaz Mıydı,Pop-Rock
40,Kelimeler Yetse,2003,Her Şey İnsanlar İçin,Rock
